,,,,,,,,,,,,,
,LEGENDA:,ATIVIDADE PERIÓDICA,,,,,,,,,,,
,,ATIVIDADE CONCLUÍDA,,,,,,,,,,,
,,ATIVIDADE INICIADA,,,,,,,,,,,
,,ATIVIDADE PRIORITÁRIA,,,,,,,,,,,
,,,,,,,,,,,,,
,PLANO ESTRATÉGICO BGF ,,,,,,,,,,,,
,,,,,,,,,,,,,
,"PESSOAL, POR FAVOR, ATUALIZAR OS STATUS DE CADA ÁREA, E CASO TENHAM ALGO A ACRESCENTAR PODEM COLOCAR!!! PROXIMA REUNIÃO DIA 24/01/2025.",,,,Não Iniciado,      LEGENDA DOS STATUS,Periódico,,,Iniciado,Concluído,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Área,Plano Estratégico,O que fazer - para executar o plano,Status,Responsável,Prioridades,"Data de início
real","Data de término
real",OBSERVAÇÕES,"Data de início
antecipado","Data de término
antecipado",Custo estimado,"Real
,GUT/ DOS ,3. GUT presente em campo / backoffice.,Presença de colaboradores da área em campo e em auxilio as áres de backoffice.,Concluído,Victor,3,28/02/2025,31/12/2025,Levando em consideração a ida do Bruna/Éricles para projetos.,-,-,0,
,GUT/ DOS ,4. Criação e melhoria de produtos da área (GUT/DOS/PMP),"Estudo de demandas dos clientes/mercado, melhoria de funcionalidades da Plataforma BGF (via TI)",Periódico,Victor,2,05/02/2024,,"Feito:
- Elaborado o Relatório de Performance para os clientes Cidade Center Norte (PMP, denominado como ""SLA-MSC"" pelo cliente);
- Elaborado o Relatório de Performance GUT ""Padrão"" para clientes pilotos e novos no processo de acompanhamento.

Pendente:
- Está sendo verificada a elaboração de novos materiais do Relatório GUT e Relatório DOS, de forma a reduzir a quantidade de páginas, porém, mantendo a qualidade de informações presente hoje.

Hoje (10/2025) não foi possível a realização das tarefas pendentes por conta do volume de demanda atual.",-,-,0,
,GUT/ DOS ,5. Materiais internos BGF,Realizar estudos internos para auxílio de visualizações informações para setores como: Comercial e Backoffice.,Não Iniciado,Victor,,28/02/2025,,"- Baixa prioridade;
- Tempo de desenvolvimento e necessidade dos demais setores da empresa.

Hoje (10/2025) não há viabilidade para realização da tarefa, é necessário achar um período no ano mais ""leve"" para tal atividade ser o foco central daquele determinado período, visto que envolverá outras áreas da empresa.",-,-,A depender do nível de implantação,
,GUT/ DOS ,6. Tempo de avaliação x novas demandas,"Identificar os gargalos referentes ao tipo de acompanhamento, e baseado nisso, diminuir o tempo de avaliação de acompanhamentos sem calendário fixo como o GUT.",Iniciado,Victor,,11/08/2025,,"Levantar estimativa de tempo durante os meses anteriores, e definir meta (quantidade de dias a reduzir).

Hoje (10/2025) foi observada que a tarefa do PMP Alqia possui maior potencial de melhoria, porém, é necessário uma medição até o final do ano (virada do calendário até 01/2026) para melhor compreensão do que pode ser melhorado no processo.",,,,
,GUT/ DOS ,7. Implantação de períodos de desenvolvimento interno (melhoras de ferramentas),"Baseado na tarefa acima, que visa otimizar os acompanhamentos, definir cronogramas para período de desenvolvimento de ferramentas utilizadas pela área (levando em conta todo o ciclo presente nos acompanhamentos em questão).",Iniciado,Victor,,11/08/2025,,"Ajuda a viablizar as atividades das tarefas 4 e 5.

Hoje (10/2025) foram adotadas as bases ""Bases de Prioridade"" para ferramentas como DOS e PMP, o intuito é facilitar a consulta de análise que podem ser ""repetitivas"" usando o que já foi avaliado como referência para futuras avaliações.",,,,
,ANÁLISE DE PROJETOS,1 Iniciar o planejamento para o setor e definir Gestão  ,"Adotamos a prática de monitoramento diário das demandas da semana, conseguindo assim, prever algumas situações e tomar decisões mediante a isso.",Concluído,Alexandre/Vanessa ,,-,Contínuo,Encaminhamos o print de pelo menos 3 dias do cronograma da planilha ,-,-,0,0
,ANÁLISE DE PROJETOS,2 Melhorar a comunicação interna,"Reuniões com os clientes são feitas sempre com mais de uma pessoa, para não concentral informação em apenas uma pessoa, e as pautas abordadas na reunião são passadas a todos imediatamente ao termino da reunião. ",Concluído,Alexandre/Vanessa ,,-,Contínuo,Trabalhamos em call e criamos grupo no whatsapp com a equipe ,-,-,0,0
,ANÁLISE DE PROJETOS,3 Comunicação com o cliente,"A Comunicação com os clientes aumentou, procuramos responder suas dúvidas diariamente, não postergando respostas por email e whatsapp.",Concluído,Alexandre/Vanessa ,2,-,Contínuo,Estamos realizando reuniões semanis com os clientes e grupos no whatsapp,-,-,0,0
,ANÁLISE DE PROJETOS,4 Treinamentos,Hoje todos os que estão disponíveis foram treinados.,Concluído,Alexandre/Vanessa ,,01/12/2023,20/01/2024,Foram realizados todos os treinamentos necessários para capacitação da equipe ,-,-,0,0
,ANÁLISE DE PROJETOS,5 Aprofundamento das disciplinas.,"As disciplinas mais recorrentes foram aprofundadas, porém restam dúvidas sobre disciplinas mais complexas.",Concluído,Alexandre/Vanessa ,,-,Contínuo,Estamos realizando treinamentos mensais ,-,-,0,0
